IID	Y_rec	Y_add	Y_null
sample_0	0.9132	1.6511	0.1530
sample_1	0.8315	2.7593	0.9103
sample_2	1.6029	-1.0106	-0.7418
sample_3	1.2489	-1.6770	0.0737
sample_4	3.3924	0.4647	0.1954
sample_5	-0.8541	-0.4917	0.2853
sample_6	0.8042	2.1740	-1.9188
sample_7	0.3222	-0.4915	1.4891
sample_8	0.7618	-2.0842	-2.4224
sample_9	-1.0014	-0.5022	-0.1890
sample_10	0.0302	1.1736	-1.3660
sample_11	0.1995	1.2525	-0.3610
sample_12	-0.1034	-0.6418	-0.1732
sample_13	1.4865	-1.1233	-1.2255
sample_14	0.6416	2.0674	-0.2056
sample_15	-1.2627	-2.0011	0.2605
sample_16	-1.2494	2.6756	2.3416
sample_17	0.2263	0.9855	-0.1179
sample_18	1.1418	-0.0031	0.0634
sample_19	1.3604	0.6262	2.1310
sample_20	-1.6368	-0.0556	-0.9039
sample_21	0.8418	0.0064	0.6023
sample_22	0.8310	0.9057	2.2970
sample_23	1.6384	-1.3785	0.3646
sample_24	0.8264	-0.4934	-1.1024
sample_25	0.6620	0.6008	0.5525
sample_26	-0.1581	2.8312	-0.9138
sample_27	-0.4960	0.5149	0.7317
sample_28	-1.3787	1.7973	-1.4581
sample_29	0.0064	0.1930	-0.7076
sample_30	1.1333	-2.3471	-0.7308
sample_31	1.0972	1.8749	1.5504
sample_32	0.7755	1.8953	-2.2246
sample_33	0.1636	-0.8830	-0.3750
sample_34	0.2447	0.5946	1.3758
sample_35	-1.9786	-0.8357	-1.4806
sample_36	-1.6388	1.5058	0.1824
sample_37	1.5566	1.6852	0.0682
sample_38	-0.9696	0.9918	-0.6916
sample_39	-1.1994	-1.1504	0.1219
sample_40	1.2655	0.5526	1.2244
sample_41	0.0913	0.0736	2.7212
sample_42	3.8210	1.1969	-0.8322
sample_43	-1.6090	0.4014	-0.2555
sample_44	0.4670	0.8230	0.4363
sample_45	1.1422	0.8142	-0.7234
sample_46	-0.7705	0.5831	-1.0718
sample_47	0.7183	1.2142	-0.0439
sample_48	-0.7814	-1.2763	-1.1240
sample_49	-1.6259	0.5267	-0.4423
sample_50	-0.9207	0.8726	0.1293
sample_51	2.0476	1.5581	1.0365
sample_52	-1.6028	0.7067	-1.8089
