Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
gene_0	synonymous	0.5	1.273906E-01	0.000969658	0.000636061	114757	128	72
gene_0	Cauchy	NA	0.127391	NA	NA	NA	NA	NA
gene_1	synonymous	0.5	8.345650E-01	0.000114017	0.000545925	151470	143	57
gene_1	Cauchy	NA	0.834565	NA	NA	NA	NA	NA
gene_10	synonymous	0.5	7.712026E-01	-0.000161128	0.00055408	160308	139	60
gene_10	Cauchy	NA	0.771203	NA	NA	NA	NA	NA
gene_11	synonymous	0.5	6.992177E-01	0.000201421	0.000521307	155605	147	52
gene_11	Cauchy	NA	0.699218	NA	NA	NA	NA	NA
gene_12	synonymous	0.5	8.025796E-01	-0.00014563	0.000582496	181929	142	58
gene_12	Cauchy	NA	0.80258	NA	NA	NA	NA	NA
gene_13	synonymous	0.5	7.796815E-01	0.000132565	0.000473897	123346	137	61
gene_13	Cauchy	NA	0.779681	NA	NA	NA	NA	NA
gene_14	synonymous	0.5	2.483950E-01	0.000631071	0.000546734	154918	146	54
gene_14	Cauchy	NA	0.248395	NA	NA	NA	NA	NA
gene_15	synonymous	0.5	5.997921E-01	0.000292546	0.00055755	108313	146	54
gene_15	Cauchy	NA	0.599792	NA	NA	NA	NA	NA
gene_16	synonymous	0.5	2.464620E-01	0.000600356	0.000518001	149409	138	62
gene_16	Cauchy	NA	0.246462	NA	NA	NA	NA	NA
gene_17	synonymous	0.5	3.846030E-01	0.000515276	0.000592648	157598	135	65
gene_17	Cauchy	NA	0.384603	NA	NA	NA	NA	NA
gene_18	synonymous	0.5	6.966250E-01	-0.000179854	0.000461307	106442	146	53
gene_18	Cauchy	NA	0.696625	NA	NA	NA	NA	NA
gene_19	synonymous	0.5	2.856087E-01	0.000596207	0.000558349	169832	144	56
gene_19	Cauchy	NA	0.285609	NA	NA	NA	NA	NA
gene_2	synonymous	0.5	7.418656E-01	-0.000186728	0.000566901	156858	145	53
gene_2	Cauchy	NA	0.741866	NA	NA	NA	NA	NA
gene_20	synonymous	0.5	3.189692E-01	0.000618095	0.000620217	203993	144	55
gene_20	Cauchy	NA	0.318969	NA	NA	NA	NA	NA
gene_21	synonymous	0.5	4.669235E-01	0.000415056	0.000570528	173667	153	47
gene_21	Cauchy	NA	0.466924	NA	NA	NA	NA	NA
gene_22	synonymous	0.5	7.276312E-01	-0.000194706	0.000559054	147147	148	51
gene_22	Cauchy	NA	0.727631	NA	NA	NA	NA	NA
gene_23	synonymous	0.5	6.128925E-01	0.000245342	0.000484914	158691	142	58
gene_23	Cauchy	NA	0.612892	NA	NA	NA	NA	NA
gene_24	synonymous	0.5	2.846692E-01	0.000589211	0.000550721	168857	137	62
gene_24	Cauchy	NA	0.284669	NA	NA	NA	NA	NA
gene_25	synonymous	0.5	7.819965E-01	0.000146451	0.000529242	186737	146	54
gene_25	Cauchy	NA	0.781996	NA	NA	NA	NA	NA
gene_26	synonymous	0.5	2.856376E-01	0.00054943	0.000514572	212864	147	52
gene_26	Cauchy	NA	0.285638	NA	NA	NA	NA	NA
gene_27	synonymous	0.5	6.638939E-01	0.000238955	0.000549899	133177	149	50
gene_27	Cauchy	NA	0.663894	NA	NA	NA	NA	NA
gene_28	synonymous	0.5	2.254921E-01	0.000413945	0.000341524	87972.2	133	67
gene_28	Cauchy	NA	0.225492	NA	NA	NA	NA	NA
gene_29	synonymous	0.5	3.468721E-02	0.00113873	0.000539171	150588	137	62
gene_29	Cauchy	NA	0.0346872	NA	NA	NA	NA	NA
gene_3	synonymous	0.5	4.258455E-01	-0.000377567	0.00047414	145545	145	55
gene_3	Cauchy	NA	0.425845	NA	NA	NA	NA	NA
