Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
gene_44	pLoF	0.5	5.841061E-06	-0.77472	0.170942	3029.03	1	0
gene_44	Cauchy	NA	5.84106e-06	NA	NA	NA	NA	NA
gene_45	pLoF	0.5	1.812821E-01	0.260486	0.194855	3029.03	1	0
gene_45	Cauchy	NA	0.181282	NA	NA	NA	NA	NA
gene_53	pLoF	0.5	2.722558E-05	-0.729411	0.173855	3029.03	1	0
gene_53	Cauchy	NA	2.72256e-05	NA	NA	NA	NA	NA
gene_70	pLoF	0.5	1.394497E-29	-1.62573	0.143938	3029.04	1	0
gene_70	Cauchy	NA	1.3945e-29	NA	NA	NA	NA	NA
gene_83	pLoF	0.5	1.004930E-01	0.118898	0.0723899	3029.83	1	0
gene_83	Cauchy	NA	0.100493	NA	NA	NA	NA	NA
