Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
gene_44	pLoF	0.5	5.841415E-06	0.0792851	0.0174943	456.84	1	0
gene_44	Cauchy	NA	5.84141e-06	NA	NA	NA	NA	NA
gene_45	pLoF	0.5	1.812823E-01	-0.0276939	0.0207163	340.638	1	0
gene_45	Cauchy	NA	0.181282	NA	NA	NA	NA	NA
gene_53	pLoF	0.5	2.722456E-05	0.0589005	0.0140389	590.147	1	0
gene_53	Cauchy	NA	2.72246e-05	NA	NA	NA	NA	NA
gene_70	pLoF	0.5	1.394394E-29	0.182598	0.0161668	596.34	1	0
gene_70	Cauchy	NA	1.39439e-29	NA	NA	NA	NA	NA
gene_83	pLoF	0.5	1.025373E-01	-0.0139451	0.00854125	2168.92	1	0
gene_83	Cauchy	NA	0.102537	NA	NA	NA	NA	NA
