Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
gene_0	synonymous	0.5	6.502106E-02	-0.00359214	0.00194684	3774.09	8	0
gene_0	Cauchy	NA	0.0650211	NA	NA	NA	NA	NA
gene_1	synonymous	0.5	6.517298E-01	-0.00145594	0.00322567	2441.52	5	0
gene_1	Cauchy	NA	0.65173	NA	NA	NA	NA	NA
gene_10	synonymous	0.5	4.767525E-01	-0.00240729	0.00338323	5163.53	7	0
gene_10	Cauchy	NA	0.476753	NA	NA	NA	NA	NA
gene_11	synonymous	0.5	5.392789E-01	-0.00103381	0.001684	6228.78	11	0
gene_11	Cauchy	NA	0.539279	NA	NA	NA	NA	NA
gene_12	synonymous	0.5	2.147438E-01	0.00766315	0.00617684	1996.41	5	0
gene_12	Cauchy	NA	0.214744	NA	NA	NA	NA	NA
gene_13	synonymous	0.5	6.111857E-01	0.00156408	0.00307659	6039.56	12	0
gene_13	Cauchy	NA	0.611186	NA	NA	NA	NA	NA
gene_14	synonymous	0.5	9.951734E-01	1.12904e-05	0.00186639	9259.77	14	0
gene_14	Cauchy	NA	0.995173	NA	NA	NA	NA	NA
gene_15	synonymous	0.5	1.435852E-01	0.0020209	0.00138175	9868.64	17	0
gene_15	Cauchy	NA	0.143585	NA	NA	NA	NA	NA
gene_16	synonymous	0.5	8.760429E-01	-0.00065306	0.00418662	6174.21	9	0
gene_16	Cauchy	NA	0.876043	NA	NA	NA	NA	NA
gene_17	synonymous	0.5	4.437393E-01	-0.0016896	0.00220605	17908.5	15	0
gene_17	Cauchy	NA	0.443739	NA	NA	NA	NA	NA
gene_18	synonymous	0.5	9.589970E-01	0.000158751	0.00308781	9743.19	12	0
gene_18	Cauchy	NA	0.958997	NA	NA	NA	NA	NA
gene_19	synonymous	0.5	9.505015E-01	0.000109053	0.00175674	6282.71	14	0
gene_19	Cauchy	NA	0.950501	NA	NA	NA	NA	NA
gene_2	synonymous	0.5	1.352866E-01	0.00237859	0.00159255	6080.89	13	0
gene_2	Cauchy	NA	0.135287	NA	NA	NA	NA	NA
gene_20	synonymous	0.5	4.039148E-01	-0.00209225	0.00250673	4307.95	11	0
gene_20	Cauchy	NA	0.403915	NA	NA	NA	NA	NA
gene_21	synonymous	0.5	7.295606E-02	0.00515885	0.00287705	6980.7	7	0
gene_21	Cauchy	NA	0.0729561	NA	NA	NA	NA	NA
gene_22	synonymous	0.5	1.561928E-02	0.00585959	0.00242363	7297.15	14	0
gene_22	Cauchy	NA	0.0156193	NA	NA	NA	NA	NA
gene_23	synonymous	0.5	8.845451E-01	-0.0002704	0.00186213	8296.7	11	0
gene_23	Cauchy	NA	0.884545	NA	NA	NA	NA	NA
gene_24	synonymous	0.5	9.327332E-01	0.000334505	0.00396303	4287.63	10	0
gene_24	Cauchy	NA	0.932733	NA	NA	NA	NA	NA
gene_25	synonymous	0.5	4.198445E-01	0.00239082	0.00296374	4201.22	11	0
gene_25	Cauchy	NA	0.419845	NA	NA	NA	NA	NA
gene_26	synonymous	0.5	7.875102E-01	0.000813161	0.00301679	2964.08	8	0
gene_26	Cauchy	NA	0.78751	NA	NA	NA	NA	NA
gene_27	synonymous	0.5	5.251965E-01	-0.00130456	0.00205327	10496.6	17	0
gene_27	Cauchy	NA	0.525196	NA	NA	NA	NA	NA
gene_28	synonymous	0.5	8.709140E-01	-0.000237989	0.00146457	6349.09	13	0
gene_28	Cauchy	NA	0.870914	NA	NA	NA	NA	NA
gene_29	synonymous	0.5	6.704558E-01	0.000888602	0.00208826	6611.07	13	0
gene_29	Cauchy	NA	0.670456	NA	NA	NA	NA	NA
gene_3	synonymous	0.5	7.590101E-01	0.000755927	0.00246406	5081.85	8	0
gene_3	Cauchy	NA	0.75901	NA	NA	NA	NA	NA
gene_30	synonymous	0.5	6.815643E-01	-0.000846393	0.00206272	9530.61	16	0
gene_30	Cauchy	NA	0.681564	NA	NA	NA	NA	NA
gene_31	synonymous	0.5	9.407430E-01	0.000178948	0.00240728	11050.2	17	0
gene_31	Cauchy	NA	0.940743	NA	NA	NA	NA	NA
gene_32	synonymous	0.5	5.095567E-01	0.000862089	0.00130713	9364.92	19	0
gene_32	Cauchy	NA	0.509557	NA	NA	NA	NA	NA
gene_33	synonymous	0.5	6.090862E-01	0.00116536	0.00227887	9267.4	9	0
gene_33	Cauchy	NA	0.609086	NA	NA	NA	NA	NA
gene_34	synonymous	0.5	5.195701E-01	-0.00170082	0.00264099	4335.36	11	0
gene_34	Cauchy	NA	0.51957	NA	NA	NA	NA	NA
gene_35	synonymous	0.5	5.686675E-01	0.00130676	0.00229251	11122.9	15	0
gene_35	Cauchy	NA	0.568667	NA	NA	NA	NA	NA
gene_36	synonymous	0.5	8.082125E-01	0.000823554	0.00339285	6809.1	9	0
gene_36	Cauchy	NA	0.808213	NA	NA	NA	NA	NA
gene_37	synonymous	0.5	1.946318E-01	-0.00315911	0.00243571	8736.88	7	0
gene_37	Cauchy	NA	0.194632	NA	NA	NA	NA	NA
gene_38	synonymous	0.5	1.623264E-01	0.00564014	0.00403648	7063.84	6	0
gene_38	Cauchy	NA	0.162326	NA	NA	NA	NA	NA
gene_39	synonymous	0.5	9.805706E-01	6.94105e-05	0.00285011	3657.69	8	0
gene_39	Cauchy	NA	0.980571	NA	NA	NA	NA	NA
gene_4	synonymous	0.5	8.127626E-01	-0.000355255	0.00149983	8834.03	17	0
gene_4	Cauchy	NA	0.812763	NA	NA	NA	NA	NA
gene_40	synonymous	0.5	4.646203E-01	-0.00223705	0.00305918	6526.69	11	0
gene_40	Cauchy	NA	0.46462	NA	NA	NA	NA	NA
gene_41	synonymous	0.5	4.394276E-01	0.00164775	0.00213119	10195.3	15	0
gene_41	Cauchy	NA	0.439428	NA	NA	NA	NA	NA
gene_42	synonymous	0.5	3.969223E-02	-0.00665945	0.00323755	3597.19	8	0
gene_42	Cauchy	NA	0.0396922	NA	NA	NA	NA	NA
gene_43	synonymous	0.5	1.068912E-01	0.00385673	0.00239203	10683	13	0
