IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	
sample_0	0.0111399	-0.00835231	0.0342775	0.00414959	0.00706297	-0.00853561	-0.0157792	0.017854	0.0138315	0.0146107
sample_1	-0.0158593	0.0107659	-0.00802903	-0.0276453	0.00369365	-0.00089777	-0.0113415	-0.0150465	0.00706518	-0.00617248
sample_2	0.0166419	-0.0201341	-0.010505	-0.0327055	0.0118358	-0.0198012	-0.033146	0.00899614	0.0116817	0.0199315
sample_3	0.0150415	0.00467236	-0.0144913	-0.00435335	-0.00266841	-0.00136639	-0.00562775	-0.0018647	-0.00956321	0.000299509
sample_4	0.0102682	-0.00418939	0.00811891	-0.00510136	-0.00905374	0.00698249	-0.00297547	0.00610153	0.00164128	0.031977
sample_5	-0.0242234	-0.00845251	0.0523232	-0.00950219	0.0273767	0.000219205	-0.0388934	0.0145678	0.0156131	-0.00523364
sample_6	0.00112969	-0.0109187	-0.0262859	0.00425842	-0.0180293	0.00838457	-0.0269913	-0.0213955	-0.0259673	0.00833403
sample_7	0.0103023	-0.00269751	0.00965591	-0.00888425	-0.00642954	0.00896261	-0.023442	0.0102144	0.0062578	-0.0244829
sample_8	0.0117756	0.00644376	-0.00746258	-0.0138797	-0.00180112	-0.00200422	-0.00696687	0.00429654	0.00605509	0.00870076
sample_9	0.000426177	0.0119561	0.000178838	-0.0243698	0.0211214	-0.00771492	-0.0173011	-0.00200565	-0.00708132	0.0151688
sample_10	-0.000415215	0.0145257	-0.0283172	0.0129543	-0.0139049	0.00534561	-0.000517491	-0.00106603	0.0154321	-0.0165724
sample_11	0.0194428	0.0173586	0.00881929	0.00115441	0.00173983	0.00462245	-0.0153694	0.0162742	0.0148019	0.00468133
sample_12	-0.00539834	0.00489801	-0.00190783	-0.01241	-0.00143276	-0.0110472	-0.0110221	-0.000698691	0.00156789	0.0241423
sample_13	0.0193286	-0.013351	-0.00124497	-0.0205206	0.00981459	-0.00857853	-0.00408865	-0.00344944	-0.00947697	-0.0146861
sample_14	0.00619001	0.0106327	0.0161406	-0.00334262	0.00336313	0.0246142	0.00538137	0.0186005	0.0270628	-0.00713765
sample_15	0.000656898	0.0125467	-0.00415723	0.0189195	-0.00415439	0.0140128	0.00535598	-0.00367115	0.0086594	-0.00216449
sample_16	0.0125298	-0.0163594	-0.00506744	0.0125437	0.000294125	0.0189128	-0.0122806	0.0214877	0.0119519	-0.0206934
sample_17	-0.0131075	0.0100974	-0.000162184	-0.00860359	-0.0297233	0.0245561	-0.00269697	-0.00533012	0.00844998	-0.00257682
sample_18	0.0237017	-0.000597581	-0.0125598	-0.00912198	-0.0010002	-0.00144759	-0.00681352	-0.00526053	0.00362465	0.0150257
sample_19	-0.000127163	-0.00165681	0.00169337	0.0046286	-0.0150559	0.000313539	-0.00329757	-0.00623252	0.00805837	-0.0207766
sample_20	0.024702	-0.0183524	0.00819394	-0.00158122	-0.00611268	0.0176554	0.00229633	-0.0186969	0.0132822	0.00271393
sample_21	0.0020183	-0.00400148	-0.000794404	0.00524886	0.0175373	0.00689952	-0.00225805	-0.00371456	-0.000246042	0.000481344
sample_22	-0.0207488	0.006623	-0.0166471	0.0028075	0.0137804	-0.00225979	-0.0191403	-0.0325163	-0.016768	0.0166573
sample_23	0.00458704	-0.00111485	0.00536767	-0.00300476	-0.00811752	0.0121898	0.0133687	0.0099824	0.0132685	-0.0200458
sample_24	0.000979648	0.00656088	0.00485436	-0.00589684	-0.0118657	-0.000399787	-0.00893488	0.00708099	-0.00272095	-0.00794686
sample_25	-0.013042	0.0160676	0.000560605	-0.00365199	0.0013847	0.00790577	0.0156646	-0.0101985	-0.0150366	0.00238483
sample_26	0.00327969	0.0107846	-0.00247959	-0.00228792	-0.00534181	0.00946717	0.00387825	-0.0161519	0.00600558	-0.00618249
sample_27	0.0130704	0.0115502	-0.00197605	0.00548515	0.00489601	-0.0120232	-0.000950473	0.00365938	0.0106391	0.00336602
sample_28	-0.00933033	0.00350246	0.00155608	-0.000805483	0.00215036	-0.00906701	-0.0159871	-0.00950071	-0.0125647	-0.00805531
sample_29	0.0215975	0.00418627	-0.0093951	-0.0105685	0.00912406	-0.0168259	0.0114825	-0.00229296	0.00749467	-0.014895
sample_30	0.0191923	-0.0331524	0.0140044	-0.0247049	-0.0170821	0.00746723	-0.00411742	-0.00708621	0.000334734	0.00470724
sample_31	0.0158912	0.00590148	0.0116085	0.0321098	-0.00787537	0.0186153	-0.00261579	0.000874525	-0.01304	0.0194995
sample_32	0.00146635	-0.00155691	0.00571756	0.000135904	0.00677177	0.0015258	-0.0113367	-0.000700956	0.00836735	-0.00952942
sample_33	-0.0097797	-0.00890867	0.00150195	0.00360933	0.00835173	-0.0134763	0.00970045	-0.0183495	-0.0165227	0.0180482
sample_34	0.00732732	-0.0107464	-0.0149088	-0.00305553	0.000398465	0.00422812	-0.00329889	-0.0034499	0.00835012	0.00705284
sample_35	0.00526689	0.0146365	0.0103465	0.009237	0.0155369	0.00379129	0.00119866	0.000884421	-0.00645878	0.00835822
sample_36	0.0163437	0.0179811	-0.0281623	-0.0153355	0.0252715	-0.0152827	-0.0227054	0.00648938	-0.0156873	-0.0241657
sample_37	0.0104451	-0.0208966	-0.00943381	-0.0169037	0.00118865	-0.00157463	-0.0143298	0.0169642	0.0145646	0.0137114
sample_38	-0.0254094	-0.0221085	-0.0304811	-0.0261247	0.0341304	0.0147713	-0.00397827	-0.0392594	0.0212123	-0.0283294
sample_39	0.0115861	0.0010977	-0.0049681	-0.00265499	-0.0173189	0.0143485	0.00790785	0.0113435	0.00994914	-0.0016593
sample_40	-0.00996159	0.00172207	0.00746042	-0.0059425	-0.00281918	-0.00521021	-0.00527878	-0.0117116	0.00347178	0.00503793
