Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
gene_0	synonymous	0.001	0.782970536758558	0.782970536758558	0.782970536758558	0.000780765063042181	0.00283450742671937	4741.253147	0	72
gene_0	synonymous	0.05	0.3413894449515	0.19426173059656	0.632183848456926	0.000803329999175876	0.000618862776894794	14316.253147	85	72
gene_0	synonymous	0.1	0.23632481955377	0.128971632713958	0.612317172780526	0.000921278308958107	0.000606834881735821	19453.253147	92	72
gene_0	Cauchy	NA	0.457609565808859	0.277027566894316	0.690174208191755	NA	NA	NA	NA	NA
gene_1	synonymous	0.001	0.79069532971706	0.79069532971706	0.79069532971706	-0.000751539711928043	0.00283164141411966	4723.668928	0	57
gene_1	synonymous	0.05	0.491968940508927	0.303505018640296	0.953962222985672	0.000831363721595223	0.000807975993259366	12719.668928	71	57
gene_1	synonymous	0.1	0.719434522533336	0.490722922284626	0.952183034296591	0.000526450870899136	0.000763902837748794	30892.668928	95	57
gene_1	Cauchy	NA	0.693977589260898	0.55833353279281	0.936204042618602	NA	NA	NA	NA	NA
gene_10	synonymous	0.001	0.48677137510408	0.48677137510408	0.48677137510408	-0.0020629225959672	0.00296629997090753	4739.873032	0	60
gene_10	synonymous	0.05	0.5653152138246	0.359881331530302	0.425673588271444	-0.000721260741986352	0.000787754094119623	12259.873032	70	60
gene_10	synonymous	0.1	0.533211478837613	0.581009261659846	0.33155491650598	-0.000414264421261757	0.000750599905975932	25589.873032	88	60
gene_10	Cauchy	NA	0.528703242133232	0.473275729812335	0.410717868113468	NA	NA	NA	NA	NA
gene_11	synonymous	0.001	0.461976671015321	0.461976671015321	0.461976671015321	0.00235683944340495	0.00320398673975001	4077.222122	0	52
gene_11	synonymous	0.05	0.11711830600975	0.0888352166854756	0.110753463624232	0.00116824424946216	0.00068656673739227	15122.222122	87	52
gene_11	synonymous	0.1	0.180373168189067	0.131306577299907	0.143134313237967	0.000992510399308831	0.000657740530448725	26244.222122	104	52
gene_11	Cauchy	NA	0.194397849411715	0.149848974160685	0.173462885382217	NA	NA	NA	NA	NA
gene_12	synonymous	0.001	0.99065466070633	0.99065466070633	0.99065466070633	3.43268230085596e-05	0.00293068180786057	4907.522217	0	58
gene_12	synonymous	0.05	0.839134575446709	0.615408376442256	0.951964303218375	0.000364940587376699	0.000726440118330235	13620.522217	70	58
gene_12	synonymous	0.1	0.932398133771522	0.757069629790506	0.947378041839514	0.000233884775516725	0.000756098335095433	22623.522217	82	58
gene_12	Cauchy	NA	0.976462131318441	0.973146115101902	0.97954536391731	NA	NA	NA	NA	NA
gene_13	synonymous	0.001	0.966990094740204	0.966990094740204	0.966990094740204	-0.000112726016949404	0.00272393034282876	4329.259399	0	61
gene_13	synonymous	0.05	0.655975957419785	0.908393599926785	0.430588159070629	-8.20338602609508e-05	0.00071293493939069	14294.259399	81	61
gene_13	synonymous	0.1	0.712538751055148	0.79023346497017	0.484069881543826	-0.00020057772413156	0.000754030452264492	27683.259399	100	61
gene_13	Cauchy	NA	0.914733612832863	0.934076428102349	0.901038540133552	NA	NA	NA	NA	NA
gene_14	synonymous	0.001	0.611534187168216	0.611534187168216	0.611534187168216	0.0015392353438092	0.00303067854978879	4536.653314	0	54
gene_14	synonymous	0.05	0.527886195487286	0.328174341864337	0.751863221024941	0.000761557452355311	0.000778849631606154	13394.653314	87	54
gene_14	synonymous	0.1	0.588440326747376	0.375258654986397	0.804726301784495	0.000662210831789409	0.000746854736538968	21292.653314	98	54
gene_14	Cauchy	NA	0.576832586671169	0.432391622740628	0.738886934826705	NA	NA	NA	NA	NA
gene_15	synonymous	0.001	0.934735818790488	0.934735818790488	0.934735818790488	-0.000235451923453853	0.00287529399360529	4874.548846	0	54
gene_15	synonymous	0.05	0.490552480829897	0.64103686474232	0.294592639044213	0.000287335238818138	0.000616269164796277	18483.548846	93	54
gene_15	synonymous	0.1	0.438133992525347	0.438245243478784	0.256921510035393	0.000441119036730995	0.000569068520935059	32133.548846	113	54
gene_15	Cauchy	NA	0.815482471975238	0.83038582956437	0.755138758785956	NA	NA	NA	NA	NA
gene_16	synonymous	0.001	0.946275415896147	0.946275415896147	0.946275415896147	-0.000201010286839372	0.00298302377679548	4619.912801	0	62
gene_16	synonymous	0.05	0.165521916257636	0.0921176701610168	0.93493842843654	0.00137563917419044	0.0008167272192161	14974.912801	77	62
gene_16	synonymous	0.1	0.153991277712319	0.0851939468329699	0.94975018569177	0.00129946660839802	0.000754927321956453	23666.912801	88	62
gene_16	Cauchy	NA	0.702698051168468	0.384718668784899	0.94431807347295	NA	NA	NA	NA	NA
gene_17	synonymous	0.001	0.525176952781896	0.525176952781896	0.525176952781896	0.00184200204774267	0.00289903017486723	4989.176483	0	65
gene_17	synonymous	0.05	0.171807581166128	0.0923059121016467	0.739244899599371	0.00126704749930105	0.000752690694233932	14366.176483	76	65
gene_17	synonymous	0.1	0.501399949516317	0.337929040592715	0.30502833942383	0.000673844572021578	0.000703192146479623	24383.176483	90	65
gene_17	Cauchy	NA	0.34523847884057	0.211498343910922	0.532900682117868	NA	NA	NA	NA	NA
gene_18	synonymous	0.001	0.472062814526548	0.472062814526548	0.472062814526548	0.0023187313108104	0.0032243707339452	4023.442556	0	53
gene_18	synonymous	0.05	0.810746479257676	0.587671796634415	0.774111429813084	-0.000391643759611645	0.000722306134825452	15328.442556	98	53
gene_18	synonymous	0.1	0.688833792240682	0.461560768445471	0.791245229423723	-0.000527169070796213	0.000715990661578583	26845.442556	114	53
gene_18	Cauchy	NA	0.691906105502709	0.507772401144384	0.713212582912779	NA	NA	NA	NA	NA
gene_19	synonymous	0.001	0.634277523335603	0.634277523335603	0.634277523335603	-0.00137416779662997	0.00288863744599495	4994.264863	0	56
gene_19	synonymous	0.05	0.832564094552631	0.612888487287696	0.669780438888499	0.000351338685929211	0.00069440746729882	16688.264863	79	56
gene_19	synonymous	0.1	0.829783100564116	0.608143892462142	0.682226507696576	0.000341325352967816	0.000665708784810992	24310.264863	90	56
gene_19	Cauchy	NA	0.789677385351244	0.61859962109616	0.662794638578488	NA	NA	NA	NA	NA
gene_2	synonymous	0.001	0.12516438877622	0.12516438877622	0.12516438877622	-0.00563553894212516	0.00367506574187813	3066.116444	0	53
gene_2	synonymous	0.05	0.8338081819767	0.986672938582335	0.612862173020743	-1.44891916915118e-05	0.000867420386681127	12750.116444	74	53
gene_2	synonymous	0.1	0.883333791195782	0.770734950909297	0.677997720690789	0.000224436776242985	0.000770165538931211	29826.116444	97	53
gene_2	Cauchy	NA	0.682152802093026	0.957990958541357	0.359743367084462	NA	NA	NA	NA	NA
gene_20	synonymous	0.001	0.568515357496811	0.568515357496811	0.568515357496811	0.00177377129912789	0.00311057320076577	4323.420788	0	55
gene_20	synonymous	0.05	0.402062842451528	0.235809254112082	0.653350106057738	0.000937498941434099	0.000790786846775434	13631.420788	68	55
gene_20	synonymous	0.1	0.491157541842291	0.297885362136051	0.721532961205856	0.000797009659827522	0.000765634821762516	23969.420788	82	55
gene_20	Cauchy	NA	0.486541178675888	0.343093607044243	0.654044384448279	NA	NA	NA	NA	NA
gene_21	synonymous	0.001	0.505142318276838	0.505142318276838	0.505142318276838	0.00222102264455875	0.00333276424093305	3753.197526	0	47
gene_21	synonymous	0.05	0.73607381292705	0.509014577883437	0.599548718800659	0.000568227504163067	0.000860464640611358	11726.197526	77	47
gene_21	synonymous	0.1	0.351205394134496	0.434404229733625	0.205441301828483	0.000609863266912006	0.000780198230083003	24049.197526	93	47
