CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	N
1	12315	var_1	A	T	33	0.0033	0	-0.0953398	0.174877	-3.11751	32.6989	5.856289E-01	5000
1	23874	var_8	A	T	495	0.0495	0	-0.0156431	0.0459915	-7.3955	472.764	7.337582E-01	5000
1	27904	var_13	A	T	46	0.0046	0	-0.025657	0.148357	-1.16571	45.4343	8.626978E-01	5000
1	30779	var_14	A	T	27	0.0027	0	-0.103038	0.193323	-2.75696	26.7569	5.940456E-01	5000
1	37860	var_17	A	T	378	0.0378	0	-0.0101121	0.0531289	-3.58243	354.273	8.490500E-01	5000
1	42929	var_19	A	T	42	0.0042	0	0.202804	0.155234	8.41588	41.4977	1.914047E-01	5000
1	43854	var_21	A	T	252	0.0252	0	-0.0337922	0.0645287	-8.1154	240.156	6.005034E-01	5000
1	48746	var_24	A	T	29	0.0029	0	-0.00793415	0.186707	-0.227602	28.6864	9.661041E-01	5000
UR	UR	gene_0:pLoF:0.05	UR	UR	98.0976	0.00980976	0	0.0726446	0.0204185	174.244	2398.58	3.739875E-04	5000
UR	UR	gene_0:synonymous:0.05	UR	UR	770.015	0.0770015	0	0.0111607	0.00751571	197.584	17703.6	1.375476E-01	5000
1	169547	var_80	A	T	417	0.0417	0	-0.090684	0.0499073	-36.4085	401.488	6.920942E-02	5000
1	181914	var_86	A	T	21	0.0021	0	0.199431	0.218959	4.15975	20.858	3.623928E-01	5000
1	186054	var_88	A	T	43	0.0043	0	-0.023228	0.153313	-0.988219	42.5443	8.795758E-01	5000
1	197321	var_90	A	T	108	0.0108	0	0.183094	0.0965599	19.6372	107.252	5.793742E-02	5000
1	212485	var_97	A	T	11	0.0011	0	0.523348	0.302103	5.73429	10.9569	8.321151E-02	5000
UR	UR	gene_1:synonymous:0.05	UR	UR	176.795	0.0176795	0	0.0179617	0.0155497	74.2859	4135.79	2.480414E-01	5000
1	3125145	var_1563	A	T	60	0.006	0	-0.10235	0.13004	-6.05249	59.1351	4.312426E-01	5000
1	3130329	var_1566	A	T	19	0.0019	0	-0.0302688	0.230187	-0.57126	18.8729	8.953825E-01	5000
1	3158380	var_1580	A	T	12	0.0012	0	0.13106	0.289662	1.56203	11.9184	6.509378E-01	5000
UR	UR	gene_11:synonymous:0.05	UR	UR	595.732	0.0595732	0	-0.00710591	0.0104781	-64.7225	9108.27	4.976651E-01	5000
1	4055081	var_2013	A	T	21	0.0021	0	-0.0150532	0.218861	-0.314261	20.8767	9.451651E-01	5000
1	4057137	var_2014	A	T	319	0.0319	0	-0.0976153	0.0575532	-29.4699	301.899	8.986923E-02	5000
1	4066481	var_2021	A	T	204	0.0204	0	-0.0192154	0.0701651	-3.90308	203.123	7.841921E-01	5000
1	4067284	var_2022	A	T	155	0.0155	0	0.00674483	0.0811459	1.02433	151.868	9.337563E-01	5000
1	4072862	var_2025	A	T	421	0.0421	0	0.019788	0.0498651	7.95809	402.167	6.914922E-01	5000
1	4079484	var_2027	A	T	188	0.0188	0	-0.0463525	0.073228	-8.64409	186.486	5.267406E-01	5000
1	4091160	var_2029	A	T	188	0.0188	0	-0.0463525	0.073228	-8.64409	186.486	5.267406E-01	5000
1	4094703	var_2030	A	T	77	0.0077	0	0.235034	0.115076	17.7485	75.5148	4.110939E-02	5000
1	4094892	var_2031	A	T	16	0.0016	0	0.000905096	0.250674	0.0144038	15.9141	9.971191E-01	5000
1	4098218	var_2033	A	T	26	0.0026	0	0.032438	0.18995	0.899032	27.7154	8.644038E-01	5000
UR	UR	gene_12:synonymous:0.05	UR	UR	400.798	0.0400798	0	0.0306381	0.0116825	224.486	7327.02	8.727205E-03	5000
1	4556924	var_2260	A	T	60	0.006	0	0.159484	0.128228	9.69953	60.8182	2.135908E-01	5000
1	4568825	var_2264	A	T	454	0.0454	0	-0.0241132	0.0479112	-10.5046	435.639	6.147607E-01	5000
1	4569552	var_2265	A	T	60	0.006	0	-0.160414	0.130223	-9.45943	58.9687	2.180089E-01	5000
1	4570158	var_2266	A	T	43	0.0043	0	-0.262082	0.153308	-11.1509	42.5471	8.735558E-02	5000
1	4571890	var_2267	A	T	27	0.0027	0	-0.0276601	0.193227	-0.740827	26.7832	8.861733E-01	5000
1	4574949	var_2268	A	T	49	0.0049	0	0.110761	0.143699	5.36389	48.4276	4.408345E-01	5000
1	4575757	var_2271	A	T	11	0.0011	0	-0.00397067	0.302076	-0.0435142	10.9589	9.895124E-01	5000
1	4578207	var_2272	A	T	18	0.0018	0	-0.201048	0.236472	-3.59534	17.883	3.952151E-01	5000
UR	UR	gene_13:synonymous:0.05	UR	UR	459.112	0.0459112	0	0.0125652	0.010964	104.527	8318.77	2.517781E-01	5000
1	4658189	var_2308	A	T	62	0.0062	0	0.0676644	0.127972	4.13174	61.0622	5.969820E-01	5000
1	4670479	var_2312	A	T	302	0.0302	0	0.00242882	0.0590511	0.69653	286.777	9.671916E-01	5000
1	4675585	var_2313	A	T	57	0.0057	0	0.132047	0.131176	7.67393	58.115	3.141085E-01	5000
1	4677346	var_2314	A	T	45	0.0045	0	0.151709	0.150021	6.74069	44.4318	3.118983E-01	5000
1	4677973	var_2315	A	T	16	0.0016	0	-0.189203	0.250864	-3.00642	15.8899	4.507271E-01	5000
1	4678806	var_2316	A	T	42	0.0042	0	-0.275224	0.155146	-11.4341	41.5449	7.606933E-02	5000
1	4683395	var_2317	A	T	19	0.0019	0	0.254799	0.230075	4.81348	18.8913	2.680945E-01	5000
1	4698198	var_2327	A	T	259	0.0259	0	0.0764064	0.0634328	18.989	248.526	2.283866E-01	5000
1	4699603	var_2329	A	T	261	0.0261	0	-0.00339158	0.062932	-0.856365	252.497	9.570206E-01	5000
1	4699667	var_2330	A	T	17	0.0017	0	-0.285355	0.243274	-4.82164	16.897	2.408044E-01	5000
UR	UR	gene_14:synonymous:0.05	UR	UR	557.222	0.0557222	0	0.0052954	0.00971765	56.0759	10589.6	5.858044E-01	5000
1	4757743	var_2364	A	T	11	0.0011	0	0.0976496	0.302625	1.06626	10.9192	7.469407E-01	5000
