Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
gene_0	synonymous	0.5	1.026519E-01	0.0315613	0.0193375	24232.3	8	0
gene_0	Cauchy	NA	0.102652	NA	NA	NA	NA	NA
gene_1	synonymous	0.5	5.451986E-01	0.0180753	0.0298779	15145.2	5	0
gene_1	Cauchy	NA	0.545199	NA	NA	NA	NA	NA
gene_10	synonymous	0.5	7.367282E-01	0.0151344	0.0450176	21203.2	7	0
gene_10	Cauchy	NA	0.736728	NA	NA	NA	NA	NA
gene_11	synonymous	0.5	5.933730E-01	0.00828191	0.0155105	33319.4	11	0
gene_11	Cauchy	NA	0.593373	NA	NA	NA	NA	NA
gene_12	synonymous	0.5	2.145002E-01	-0.0684848	0.0551724	15145.2	5	0
gene_12	Cauchy	NA	0.2145	NA	NA	NA	NA	NA
gene_13	synonymous	0.5	4.504716E-01	-0.023002	0.0304812	36348.4	12	0
gene_13	Cauchy	NA	0.450472	NA	NA	NA	NA	NA
gene_14	synonymous	0.5	9.060922E-01	0.00231594	0.0196318	42406.5	14	0
gene_14	Cauchy	NA	0.906092	NA	NA	NA	NA	NA
gene_15	synonymous	0.5	1.202210E-01	-0.0210803	0.0135665	51494.8	17	0
gene_15	Cauchy	NA	0.120221	NA	NA	NA	NA	NA
gene_16	synonymous	0.5	8.873857E-01	0.00530487	0.0374604	27262.1	9	0
gene_16	Cauchy	NA	0.887386	NA	NA	NA	NA	NA
gene_17	synonymous	0.5	9.046446E-01	0.00350623	0.0292683	45435.9	15	0
gene_17	Cauchy	NA	0.904645	NA	NA	NA	NA	NA
gene_18	synonymous	0.5	9.488646E-01	0.00213269	0.0332543	36348.8	12	0
gene_18	Cauchy	NA	0.948865	NA	NA	NA	NA	NA
gene_19	synonymous	0.5	9.059469E-01	0.00197216	0.0166917	42406.5	14	0
gene_19	Cauchy	NA	0.905947	NA	NA	NA	NA	NA
gene_2	synonymous	0.5	1.207471E-01	-0.021905	0.0141173	39377.5	13	0
gene_2	Cauchy	NA	0.120747	NA	NA	NA	NA	NA
gene_20	synonymous	0.5	3.396207E-01	0.0239056	0.0250342	33319.4	11	0
gene_20	Cauchy	NA	0.339621	NA	NA	NA	NA	NA
gene_21	synonymous	0.5	8.548895E-02	-0.0492901	0.0286622	21203.6	7	0
gene_21	Cauchy	NA	0.085489	NA	NA	NA	NA	NA
gene_22	synonymous	0.5	1.086195E-02	-0.0631243	0.0247827	42406.5	14	0
gene_22	Cauchy	NA	0.010862	NA	NA	NA	NA	NA
gene_23	synonymous	0.5	9.116808E-01	0.00194959	0.0175767	33319.4	11	0
gene_23	Cauchy	NA	0.911681	NA	NA	NA	NA	NA
gene_24	synonymous	0.5	9.588066E-01	-0.00175218	0.0339232	30290.4	10	0
gene_24	Cauchy	NA	0.958807	NA	NA	NA	NA	NA
gene_25	synonymous	0.5	5.307763E-01	-0.0190797	0.0304388	33319.4	11	0
gene_25	Cauchy	NA	0.530776	NA	NA	NA	NA	NA
gene_26	synonymous	0.5	6.296181E-01	-0.0132802	0.0275373	24232.3	8	0
gene_26	Cauchy	NA	0.629618	NA	NA	NA	NA	NA
gene_27	synonymous	0.5	4.483343E-01	0.0177225	0.0233746	51493.6	17	0
gene_27	Cauchy	NA	0.448334	NA	NA	NA	NA	NA
gene_28	synonymous	0.5	8.248152E-01	0.00278919	0.0126005	39377.5	13	0
gene_28	Cauchy	NA	0.824815	NA	NA	NA	NA	NA
gene_29	synonymous	0.5	6.082186E-01	-0.0109449	0.021351	39377.5	13	0
gene_29	Cauchy	NA	0.608219	NA	NA	NA	NA	NA
gene_3	synonymous	0.5	8.235988E-01	0.00602582	0.0270315	24232.3	8	0
gene_3	Cauchy	NA	0.823599	NA	NA	NA	NA	NA
gene_30	synonymous	0.5	8.639281E-01	-0.00310373	0.0181106	48466.9	16	0
gene_30	Cauchy	NA	0.863928	NA	NA	NA	NA	NA
gene_31	synonymous	0.5	9.458850E-01	-0.00166737	0.0245652	51494	17	0
gene_31	Cauchy	NA	0.945885	NA	NA	NA	NA	NA
gene_32	synonymous	0.5	5.636287E-01	-0.00734496	0.0127194	57552.5	19	0
gene_32	Cauchy	NA	0.563629	NA	NA	NA	NA	NA
gene_33	synonymous	0.5	4.860731E-01	-0.0160529	0.0230457	27261.3	9	0
gene_33	Cauchy	NA	0.486073	NA	NA	NA	NA	NA
gene_34	synonymous	0.5	5.162705E-01	0.0164023	0.0252691	33319.4	11	0
gene_34	Cauchy	NA	0.51627	NA	NA	NA	NA	NA
gene_35	synonymous	0.5	6.645846E-01	-0.0100652	0.0232136	45435.9	15	0
gene_35	Cauchy	NA	0.664585	NA	NA	NA	NA	NA
gene_36	synonymous	0.5	7.196767E-01	-0.0121848	0.0339513	27261.7	9	0
gene_36	Cauchy	NA	0.719677	NA	NA	NA	NA	NA
gene_37	synonymous	0.5	3.307736E-01	0.0288769	0.0296918	21203.2	7	0
gene_37	Cauchy	NA	0.330774	NA	NA	NA	NA	NA
gene_38	synonymous	0.5	1.201935E-01	-0.0563093	0.036236	18174.2	6	0
gene_38	Cauchy	NA	0.120194	NA	NA	NA	NA	NA
gene_39	synonymous	0.5	9.903960E-01	-0.000326896	0.0271572	24232.3	8	0
gene_39	Cauchy	NA	0.990396	NA	NA	NA	NA	NA
gene_4	synonymous	0.5	9.921297E-01	0.000155201	0.0157339	51493.6	17	0
gene_4	Cauchy	NA	0.99213	NA	NA	NA	NA	NA
gene_40	synonymous	0.5	4.901454E-01	0.00333205	0.00482852	33520	11	0
gene_40	Cauchy	NA	0.490145	NA	NA	NA	NA	NA
gene_41	synonymous	0.5	5.916080E-01	-0.01416	0.0263929	45435.5	15	0
gene_41	Cauchy	NA	0.591608	NA	NA	NA	NA	NA
gene_42	synonymous	0.5	7.617046E-02	0.0603368	0.0340242	24232.3	8	0
gene_42	Cauchy	NA	0.0761705	NA	NA	NA	NA	NA
gene_43	synonymous	0.5	9.223355E-02	-0.0423893	0.0251758	39378.2	13	0
gene_43	Cauchy	NA	0.0922335	NA	NA	NA	NA	NA
gene_44	synonymous	0.5	2.673530E-02	0.0603817	0.0272559	42407.3	14	0
gene_44	Cauchy	NA	0.0267353	NA	NA	NA	NA	NA
gene_45	synonymous	0.5	8.072428E-01	-0.00606921	0.0248754	33319.4	11	0
gene_45	Cauchy	NA	0.807243	NA	NA	NA	NA	NA
gene_46	synonymous	0.5	1.122264E-01	0.037086	0.02335	33320.2	11	0
gene_46	Cauchy	NA	0.112226	NA	NA	NA	NA	NA
gene_47	synonymous	0.5	6.247715E-02	-0.0567019	0.0304375	33319.4	11	0
gene_47	Cauchy	NA	0.0624771	NA	NA	NA	NA	NA
gene_48	synonymous	0.5	2.210549E-01	-0.0525706	0.0429594	27261.3	9	0
gene_48	Cauchy	NA	0.221055	NA	NA	NA	NA	NA
gene_49	synonymous	0.5	9.943487E-01	0.000160583	0.022672	42406.9	14	0
gene_49	Cauchy	NA	0.994349	NA	NA	NA	NA	NA
gene_5	synonymous	0.5	9.689636E-01	0.00095973	0.0246665	27261.3	9	0
gene_5	Cauchy	NA	0.968964	NA	NA	NA	NA	NA
