Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
gene_0	pLoF	0.05	0.424035361819304	0.359359713427011	0.300885740969431	0.00561033462924159	0.00612090483748717	173.09756	2	1
gene_0	synonymous	0.05	0.911574340683166	0.793150047278505	0.767812133374888	0.000585794384760593	0.00223396081324578	1997.014698	6	9
gene_0	Cauchy	NA	0.824985963784036	0.626954809324918	0.562279167742734	NA	NA	NA	NA	NA
gene_1	synonymous	0.05	0.0954032900139716	0.556930802561429	0.0662176461987389	-0.00165932128419847	0.00282482674611752	776.79513	5	2
gene_10	pLoF	0.05	0.00942064285777222	0.00810206421590443	0.0165242556200456	-0.00730626799678239	0.00275938698868857	603.786016	3	2
gene_10	synonymous	0.05	1.12051164855576e-05	0.550412368436386	4.94713284693304e-06	-0.00259582446877921	0.00434707841549611	418.65765	8	8
gene_10	Cauchy	NA	2.23836171585612e-05	0.0162596429711837	9.89130703210606e-06	NA	NA	NA	NA	NA
gene_11	synonymous	0.05	0.535504145875756	0.393593857015555	0.580273803127701	-0.00424003576772706	0.00497004593436456	686.731824	3	9
gene_12	synonymous	0.05	0.471679377924627	0.870290806471568	0.319930436250372	-0.000314435940156069	0.00192563935792138	2015.797745	10	8
gene_13	synonymous	0.05	0.687539349214506	0.639415961989765	0.523306623852875	-0.00102221287477134	0.0021818121099049	1181.112382	8	10
gene_14	synonymous	0.05	0.352332231921987	0.224556150764389	0.40048701828161	0.00212109567529937	0.00174647383790672	1637.221841	10	9
gene_15	synonymous	0.05	0.00348849836395559	0.20141166299131	0.00231546106995251	0.00172177440961506	0.00134772640441219	2518.296684	16	5
gene_16	synonymous	0.05	0.171965844473818	0.513163018658085	0.0989919684997673	-0.00121517598593686	0.00185829311872598	1657.093237	13	14
gene_17	synonymous	0.05	0.0230112843512187	0.792080119685069	0.0142828825494272	-0.000564312732207445	0.0021407071382572	1550.975361	10	6
gene_18	pLoF	0.05	0.000400506046412508	0.00108805493923603	0.000303349235890815	-0.00956153065154076	0.00292696132618393	424.927419	3	1
gene_18	synonymous	0.05	0.102906140769114	0.0690715503260002	0.0895555157921871	-0.00244772325989648	0.00134641837182436	1585.855032	7	3
gene_18	Cauchy	NA	0.000798013966021305	0.00214286124673402	0.000604703958371866	NA	NA	NA	NA	NA
gene_19	synonymous	0.05	0.0819037639071967	0.163022529838985	0.0459494002325977	0.0021824929776108	0.00156453597690558	1756.616777	11	7
gene_2	synonymous	0.05	0.500214713157447	0.350566403868591	0.434063841102344	0.00226700836494345	0.00242852672524808	755.457089	6	8
gene_20	synonymous	0.05	0.704721447154024	0.49016712923332	0.866510604805535	0.00123706072934981	0.00179272984402796	2761.413771	12	7
gene_21	synonymous	0.05	0.00212970624626219	0.0773292830849487	0.00106672475732472	-0.00356817408381336	0.00202002962236486	1479.380133	13	10
gene_22	pLoF	0.05	0.0278375994242536	0.0258060291180089	0.121088155925976	-0.00567800800292712	0.00254719894971843	511.85983	2	1
gene_22	synonymous	0.05	0.113517812281606	0.270673199718283	0.069386838128486	0.00205108012171078	0.00186205614595021	1549.921175	10	8
gene_22	Cauchy	NA	0.044884056169253	0.0479164106668319	0.0884024090678329	NA	NA	NA	NA	NA
gene_23	synonymous	0.05	0.0918499407332541	0.0800826005382207	0.0613483413401383	0.00227242672198854	0.00129837597244328	3469.969561	13	11
gene_24	synonymous	0.05	0.318957439349528	0.477310122448247	0.19349532136333	-0.00141872684676289	0.00199641981737928	1143.244479	14	4
gene_25	synonymous	0.05	0.752548591747302	0.693534768450074	0.540257596540807	-0.000540764804806162	0.00137228121745278	2129.727191	11	4
gene_26	synonymous	0.05	0.843039923540225	0.851762698845967	0.65651187376552	-0.000265135970487688	0.00141882709518101	2091.864436	13	10
gene_27	synonymous	0.05	0.453249633476647	0.294943071505687	0.32849074414792	0.00249816826578655	0.00238525187873348	882.643405	9	6
gene_28	synonymous	0.05	0.693900275562316	0.858564486404886	0.519241154269111	0.000458719006999211	0.00257415455422631	974.12007	10	5
gene_29	synonymous	0.05	0.110163085973048	0.0650848437069104	0.206285959210877	0.00354791381960686	0.00192332741818678	2131.48769	10	11
gene_3	synonymous	0.05	0.224284508461989	0.949843030419585	0.142222744632948	0.000106147444018698	0.00168745414043802	2423.016548	9	9
